양식장,월,일순환량,사료종류,사료급이량,일평균폐사,백신접종여부,수온,DO,pH,ATP,세균수,전장(cm),체장(cm),어체중(g),간무게(g),HSI(%),Condition factor,심장질환,신장질환,비장질환,간장질환,복수,빈혈,궤양,안구질환,척추만곡,아가미부식,림포,탈장,기타,임상증상유무,Trichodina sp.,Scuticocilliates,ameoba,gyrodactylus,기생충유무,S. parauberis,L. garvieae,E. piscicida,P. damselae,V. ichthyoenteri,V. scophthalmi,세균감염유무,Ht,Hb,MCHC,ALT,ALP,TBIL,GGT,BUN,CREA,GLU,T P,CHOL,ALB,Ca,PHOS,Wgc1,Wgc2,Wgr1,Wgr2,Wgr6,Wgp2,Wgi3,Wbkr1,Wbkr2-1,Wbkr2-2,Wbkr5,Wbkr6,Wbki3-1,Wbki3-2,Whkr4,Whkr6,Whkr7,Whkp2,Whki2-1,Whki2-2,Wlc1,Wlr1,Wlp1,Wlr2-1,Wlr2-2,Wlr4,Wlr6,Wlr8,Wli3-1,Wli3-2,Wli6,Wii3,Wstr1,Wstr2,Wsti3,Wsr5,Wsr6,Wsi2,Wsi3-1,Whr7,Whi3,Whi6-1,Whi6-2,Whi6-3,Igc,Igr,Igp,Igi,Ibkr,Ibki,Ihkr,Ihkp,Ihki,Ilc,Ilr,Ilp,Ili,Iii,Istr,Isti,Isr,Isi,Ihr,Ihi,IC,IR,IP,II,Gill,Body kidney,Head kidney,Liver ,Intestine,Stomach,Spleen,Heart,Total,결과
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,36.5,30.7,528.8,9.98,1.887291982,1.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,5.01,17.88,7,79,null,null,1.9,null,16,5.7,252,1.6,13.3,9.2,0,0,0,0,0,0,4,0,2,2,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,4,8,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,24,4,12,4,0,0,0,12,0,32,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,38.2,28,515.4,8.14,1.57935584,2.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.19,8.43,5,60,null,null,2.2,null,17,5.4,176,1.7,13.6,8.2,0,0,0,0,0,0,0,0,2,2,4,0,8,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,8,8,0,8,0,0,2,0,0,0,0,0,0,4,0,8,0,10,8,20,0,16,8,2,0,0,4,8,38,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,35,29.8,432.3,6.38,1.475826972,1.634,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,27,4.85,17.97,7,95,null,null,1.9,null,14,4.7,275,1.3,12,8.1,0,0,4,0,0,0,8,0,0,2,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,0,8,0,4,0,8,2,4,0,0,8,0,2,0,0,0,0,4,0,8,0,16,0,8,0,48,12,6,8,2,0,4,8,16,56,3
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,37.3,31.1,573.4,12.4,2.16253924,1.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,22,3.17,14.4,6,77,null,null,2.4,null,11,5.7,232,1.6,14.2,10.3,0,0,0,0,0,4,4,0,0,2,0,0,8,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,4,0,0,4,4,2,8,0,0,8,0,2,0,0,0,0,0,0,4,0,12,0,4,4,36,8,10,8,2,0,0,4,12,44,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,38.2,31.8,660.8,14.87,2.250302663,2.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6.3,31.49,6,59,null,null,2.2,null,18,5.9,182,1.7,13.2,9.2,0,0,0,0,0,4,4,0,0,0,0,6,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4,4,6,4,0,4,4,0,0,0,0,0,0,0,0,0,0,12,0,6,8,24,8,10,8,0,0,0,0,12,38,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,36,29.9,314.4,10.9,3.46692112,1.176,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,26,3.91,15.05,8,32,null,null,3.3,null,35,4.6,45,1.7,12.6,8.7,0,0,0,0,0,8,0,0,2,0,0,0,8,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,8,0,0,4,0,0,0,0,0,8,0,2,8,0,8,8,0,4,0,0,0,2,4,0,8,0,4,0,8,16,32,8,10,16,4,0,6,8,4,56,3
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,39,32.4,352.2,11.3,3.208404316,1.036,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,24,1.96,8.15,7,82,null,null,2.1,null,19,4.9,237,1.7,13.8,10.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,8,0,4,8,0,0,0,0,0,0,0,4,8,0,0,0,4,4,24,0,8,12,0,0,0,12,0,32,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,34.5,29,451.8,6.64,1.469676848,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4.42,17.68,8,72,null,null,2.4,null,41,6.1,137,1.8,15.9,10.6,0,0,4,0,0,0,8,0,0,2,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,8,2,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,6,0,32,12,10,8,0,0,0,8,0,38,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,37,31.8,605.2,9.46,1.56311963,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5.12,21.35,7,63,null,null,1.8,null,33,5.3,227,1.6,14,10.5,0,0,4,0,0,0,4,0,2,2,0,0,8,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,8,0,0,0,4,0,4,4,8,0,0,4,0,2,0,0,0,0,8,0,4,0,8,0,10,0,36,8,12,4,2,0,8,4,8,46,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,35.7,29.4,571,8.74,1.530647986,2.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,5.52,23.98,10,66,null,null,1.7,null,36,5.9,237,1.6,15.3,12.7,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,4,4,0,4,0,4,8,24,8,8,8,0,0,0,8,4,36,2
