,수온,Condition factor,ALP,T P,Wgp2,Wgi3,Whkp2,Whki2-1,Wlr1,Wlr2-1,Wsi2,결과
0,12.44,1.828,79.0,5.7,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0
1,12.44,2.348,60.0,5.4,0.0,0.0,8.0,0.0,4.0,0.0,4.0,1.0
2,12.44,1.634,95.0,4.7,0.0,8.0,0.0,8.0,4.0,0.0,8.0,2.0
3,12.44,1.906,77.0,5.7,4.0,4.0,0.0,8.0,4.0,0.0,4.0,1.0
4,12.44,2.055,59.0,5.9,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0
5,12.44,1.176,32.0,4.6,8.0,0.0,8.0,8.0,8.0,0.0,8.0,2.0
6,12.44,1.036,82.0,4.9,0.0,0.0,4.0,8.0,0.0,0.0,8.0,1.0
7,12.44,1.852,72.0,6.1,0.0,8.0,0.0,8.0,0.0,0.0,8.0,1.0
8,12.44,1.882,63.0,5.3,0.0,4.0,0.0,4.0,4.0,0.0,4.0,1.0
9,12.44,2.247,66.0,5.9,8.0,0.0,0.0,8.0,0.0,0.0,4.0,1.0
10,12.44,2.006,82.0,5.2,0.0,4.0,0.0,4.0,0.0,0.0,8.0,1.0
11,12.44,1.882,77.0,7.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.44,1.914,68.0,5.1,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
13,12.44,1.776,65.0,4.6,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0
14,12.44,2.132,76.0,5.1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0
15,13.97,1.762,40.0,3.4,0.0,0.0,8.0,0.0,0.0,0.0,8.0,1.0
16,13.97,1.404,78.0,4.4,0.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0
17,13.97,1.77,201.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,13.97,1.686,63.0,4.7,4.0,4.0,8.0,0.0,4.0,0.0,8.0,1.0
19,13.97,1.298,79.0,3.5,4.0,0.0,8.0,0.0,12.0,0.0,0.0,1.0
20,13.97,1.726,78.0,4.3,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0
21,13.97,1.562,77.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0
22,13.97,1.364,49.0,3.4,0.0,4.0,12.0,0.0,12.0,0.0,8.0,1.0
23,13.97,1.615,113.0,4.6,4.0,4.0,0.0,0.0,0.0,8.0,0.0,1.0
24,13.97,1.721,113.0,5.3,0.0,0.0,8.0,0.0,4.0,0.0,0.0,1.0
25,13.97,1.689,63.0,5.5,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0
26,13.97,1.847,75.0,4.6,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
27,13.97,1.594,69.0,4.9,8.0,4.0,4.0,0.0,0.0,8.0,4.0,1.0
28,13.97,1.473,160.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
29,13.97,1.377,119.0,5.2,0.0,0.0,8.0,0.0,8.0,8.0,8.0,2.0
30,13.31,1.465,79.0,5.7,0.0,0.0,8.0,8.0,12.0,0.0,4.0,2.0
31,13.31,1.756,162.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
32,13.31,1.789,152.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,13.31,1.675,91.0,4.3,0.0,0.0,8.0,0.0,8.0,0.0,0.0,1.0
34,13.31,1.493,33.0,3.1,0.0,0.0,8.0,0.0,12.0,0.0,4.0,1.0
35,13.31,1.731,175.0,5.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
36,13.31,1.852,231.0,6.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
37,13.31,1.91,210.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,13.31,1.722,196.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,13.31,2.02,173.0,5.5,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0
40,13.31,2.106,147.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0
41,13.31,1.772,191.0,5.4,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0
42,13.31,1.89,206.0,5.4,0.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0
43,13.31,1.815,131.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0
44,13.31,1.795,142.0,5.4,8.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0
45,14.5,1.703,175.0,4.3,4.0,4.0,0.0,0.0,4.0,8.0,0.0,1.0
46,14.5,1.52,117.0,4.2,0.0,0.0,4.0,0.0,8.0,4.0,0.0,1.0
47,14.5,1.492,170.0,4.1,0.0,0.0,4.0,0.0,8.0,4.0,0.0,1.0
48,14.5,1.896,254.0,4.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
49,14.5,1.806,291.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
50,14.5,1.847,186.0,5.2,8.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0
51,14.5,1.91,222.0,4.7,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
52,14.5,1.756,156.0,2.4,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
53,14.5,1.753,108.0,2.7,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0
54,14.5,2.428,185.0,5.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
55,14.5,1.428,131.0,2.9,0.0,0.0,8.0,0.0,8.0,4.0,0.0,2.0
