,Whi6-1,결과
11,0,0
12,0,0
13,0,0
17,0,0
28,0,0
31,0,0
32,0,0
35,0,0
37,0,0
38,0,0
49,0,0
52,0,0
60,0,0
61,0,0
64,0,0
65,0,0
73,0,0
76,0,0
77,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
112,0,0
114,0,0
115,0,0
116,0,0
118,0,0
122,0,0
166,0,0
171,0,0
172,0,0
176,0,0
183,0,0
184,0,0
188,0,0
190,0,0
213,0,0
214,0,0
217,0,0
220,0,0
225,0,0
227,0,0
228,0,0
229,0,0
230,0,0
232,0,0
235,0,0
237,0,0
239,0,0
242,0,0
244,0,0
278,0,0
293,0,0
297,0,0
299,0,0
300,0,0
303,0,0
310,0,0
311,0,0
312,0,0
314,0,0
321,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
399,0,0
400,0,0
401,0,0
422,0,0
428,0,0
429,0,0
431,0,0
439,0,0
440,4,0
446,0,0
450,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
461,0,0
462,0,0
464,0,0
465,0,0
466,0,0
468,0,0
469,0,0
488,0,0
498,0,0
511,0,0
520,0,0
553,0,0
593,0,0
598,0,0
603,0,0
611,0,0
640,0,0
650,0,0
651,0,0
652,0,0
653,0,0
656,0,0
657,0,0
658,0,0
659,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
667,0,0
669,0,0
670,0,0
674,0,0
675,0,0
676,0,0
678,0,0
680,0,0
681,0,0
682,0,0
684,0,0
685,0,0
686,0,0
687,0,0
689,0,0
690,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
703,0,0
705,0,0
706,0,0
707,0,0
710,0,0
713,0,0
715,0,0
716,0,0
717,0,0
719,0,0
722,0,0
726,0,0
730,0,0
733,0,0
735,0,0
736,0,0
737,0,0
739,0,0
742,0,0
744,0,0
746,0,0
748,0,0
752,0,0
753,0,0
754,0,0
755,0,0
759,0,0
760,0,0
761,0,0
763,0,0
766,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
776,0,0
783,0,0
786,0,0
788,0,0
790,0,0
801,0,0
820,0,0
827,0,0
830,0,0
847,0,0
850,0,0
851,0,0
852,0,0
855,0,0
856,0,0
858,0,0
862,0,0
864,0,0
870,0,0
871,0,0
875,0,0
877,0,0
878,0,0
884,0,0
886,0,0
888,0,0
