,count
Iron,6
deposition,7
induced,1528
ferroptosis,9
alveolar,158
type,93
II,142
cells,1186
promotes,71
development,109
pulmonary,560
fibrosis,294
Mechanism,20
chromium,34
toxicity,334
lungs,127
liver,90
kidney,25
ameliorative,1
agents,47
Nanoparticle,14
mediated,283
gene,880
delivery,181
lung,2531
Gene,195
expression,808
profiling,86
flaxseed,2
mouse,277
tissues,55
modulation,29
toxicologically,2
relevant,16
genes,193
Toxic,18
effects,357
FeO,9
nanoparticles,194
tissue,97
CYPA,41
polymorphisms,97
modify,5
association,34
PM,146
exposure,496
function,102
Assessing,3
subcompartments,1
utilizing,2
situ,7
RNA,102
preservation,2
Genotoxicity,23
analyses,16
mice,645
treated,95
titanium,30
dioxide,67
Assessment,27
F/HN,1
pseudotyped,3
lentivirus,4
clinically,1
vector,58
therapy,261
Potential,47
Utility,2
N,81
acetylcysteine,9
Treating,4
Mustard,7
Lung,528
human,761
fibroblast,52
following,104
cadmium,62
fetal,28
rat,208
gestational,5
perfluorooctane,4
sulfonate,4
Optimizing,3
aerosol,27
ovine,4
Acute,86
Expression,138
Profile,9
Tissue,38
Following,10
Sulfur,8
Inhalation,25
Exposure,100
Large,3
Anesthetized,1
Swine,1
Multi,20
walled,52
carbon,120
nanotube,19
pathology,10
profiles,55
characterize,1
inflammation,313
stages,11
acute,303
injury,448
Early,22
differential,29
paraquat,53
alterations,52
cell,1046
cycle,48
associated,212
cancer,1180
vivo,222
electroporation,3
ubiquitin,6
promoter,49
protocol,3
sustained,9
ChromiumVI,4
enhances,74
polycyclic,31
aromatic,39
hydrocarbon,63
DNA,336
binding,43
p,287
PFOA,3
exposed,206
fetuses,3
asbestos,67
epithelial,547
mesothelial,11
lines,49
inhalation,96
C,65
fullerene,3
particles,134
Arsenic,30
changes,89
L,40
implications,27
carcinogenesis,107
rats,262
formaldehyde,10
Impact,34
environmental,61
chemicals,13
Alterations,14
response,274
biochemical,3
toxins,5
Evaluation,48
primary,46
hr,1
exposures,26
inorganic,16
arsenic,71
methylated,4
metabolites,12
trioxide,5
Fetal,8
onset,6
aberrant,7
adenocarcinoma,102
utero,16
Oxygen,8
Toxicity,94
Immature,1
Part,10
Pathomechanistic,1
Understanding,4
Preclinical,14
Perspectives,3
mutation,71
intratracheal,25
injected,3
crystalline,20
silica,98
cynomolgus,1
monkeys,4
repeated,15
welding,8
fumes,9
Transient,6
receptor,270
potential,126
TRP,2
channels,5
molecular,82
targets,33
toxicology,20
diseases,35
ozone,74
Enhancement,13
initiated,6
hydroxymethylnitrosamino,1
pyridyl,19
butanone,19
Ogg,2
deficiency,36
female,25
male,27
combustion,13
generated,10
nano,16
sized,5
Role,106
regulation,108
activator,12
protein,209
toxicant,4
responses,165
Overexpression,14
transforming,22
growth,212
factor,263
TGF,58
beta,60
toxic,33
inhaled,35
patients,322
Relationship,11
children,12
adult,19
disease,113
case,29
outdoor,2
Genetic,80
Enzymatic,2
Characteristics,2
Relation,3
Damage,25
Dosing,2
formulation,10
antenatal,1
corticosteroids,3
maturation,7
rhesus,10
macaques,7
Bcl,25
family,25
severe,26
hyperoxia,28
Response,39
transcriptome,21
fume,5
stainless,2
mild,5
steel,6
A/J,24
CBL/J,5
Global,11
cobalt,6
Profiling,18
whole,21
cytochrome,39
P,100
superfamily,2
bronchial,214
peripheral,22
Differential,46
non,543
small,526
cancers,43
Airway,43
Epithelium,10
Central,3
Player,1
Asthma,13
Pathogenesis,10
Genomic,15
proteomic,11
metals,9
analysis,194
toxicants,9
Sequencing,10
microarray,24
Ambient,12
innate,30
immunity,21
Nrf,87
protects,75
airway,207
disorders,7
nanosilver,2
dependent,158
size?,1
Silica,26
altered,28
telomere,2
length,4
regulatory,22
proteins,31
Oxidative,51
stress,206
calcium,14
homeostasis,22
ZnO,8
Delivery,42
systems,20
therapeutic,61
nucleic,9
acids,9
treatment,196
injury/acute,2
respiratory,88
distress,15
syndrome,33
Dectin,1
transcription,59
glucan,2
Signal,9
transduction,8
pathways,107
death,39
biofunctional,1
carbonate,2
apatite,1
Unsuspected,1
specific,122
Cre,2
deleter,1
line,114
Hydrogen,5
peroxide,7
induces,191
adaptive,11
embryo,9
PCR,10
based,179
subtraction,1
upregulated,6
Review,22
transcriptomic,23
hexavalent,21
supports,5
role,192
epigenetic,24
mediators,14
Health,16
risk,65
assessment,46
air,86
pollutants,13
cardiac,23
Milano,2
winter,2
fine,38
particulate,165
matter,143
omics,9
approaches,20
elucidate,1
mechanisms,73
biodiesel,7
Vitro,32
Transformation,6
Human,138
Bronchial,24
Epithelial,82
Cells,192
Diesel,22
Exhaust,7
Particles,10
Responses,28
Acrylamide,3
adduct,10
formation,34
mutations,91
carcinogenic,23
target,55
site,6
Metabolism,8
Inhaled,12
Naphthalene,4
Effects,157
Postnatal,6
Age,11
Sex,16
xenobiotic,16
metabolizing,13
enzymes,35
possible,13
susceptibility,83
ILD,2
Dose,23
Dependent,20
Pulmonary,142
Aerosolized,2
Vitamin,16
E,48
Acetate,3
Intratracheal,8
instillation,24
single,73
wall,7
nanotubes,58
time,18
Induction,54
orphan,1
nuclear,43
Nur,1
apoptosis,225
Differences,15
cytokine,59
production,64
vs,5
amorphous,7
Altered,15
emission,5
metal,25
constituents,3
TCDD,7
putative,6
endogenous,13
AhR,20
ligand,19
ITE,1
elicit,3
immediate,3
fibroblasts,66
co,34
airborne,21
extremely,2
low,54
frequency,8
magnetic,12
field,3
Perinatal,5
nicotine,33
alters,42
spermatozoal,1
methylation,76
near,3
controlling,3
action,32
Genome,18
wide,29
subchronic,11
arsenate,4
profile,34
newborn,13
two,27
days,2
recovery,9
mechanical,8
ventilation,6
early,44
post,12
LPS,115
studies,59
dialkynoyl,1
analogues,6
DOTAP,1
demonstrate,4
improved,13
transfer,61
efficiency,21
cationic,40
liposomes,10
administration,59
using,114
Selective,22
induction,70
Cytokine,9
network,30
involvement,15
subjects,7
benzene,6
Mechanisms,35
inflammatory,223
radiation,52
normal,37
clinical,68
fibrogenic,13
Toxicogenomic,5
tungsten,5
boride,1
systemic,66
immune,83
staphylococcal,10
enterotoxins,1
Aluminum,1
oxide,106
zinc,35
nanotoxicity,2
brain,30
heart,21
Comparative,31
blood,38
transcriptomes,2
multi,43
placental,5
Anthrax,2
lethal,15
toxin,19
vitro,228
concordance,1
interaction,21
study,225
occupational,15
FEV,1
levels,52
Aspergillus,9
fumigatus,7
Invasive,1
Aspergillosis,1
Polymorphism,10
FCGRA,1
chronic,73
beryllium,11
Functional,23
long,41
term,67
incubated,1
precision,5
cut,5
slices,6
explants,4
ambient,40
different,39
sizes,2
K,43
ras,43
tumors,96
NNK,39
lipopolysaccharide,112
elicited,3
Xenobiotic,6
metabolism,48
disposition,3
transcript,2
tumoral,3
Time,11
course,9
reflect,2
pathophysiology,2
polyhexamethylene,7
guanidine,7
phosphate,16
RT,4
method,10
detecting,1
selective,29
drug,84
knockout,30
NADPH,10
reductase,19
acetaminophen,12
nasal,11
mucosa,8
models,68
comparison,27
new,45
emerging,9
pollutant,11
tris,1
dibromopropyl,1
isocyanurate,1
BALB/c,9
offspring,18
hydrocarbons,25
Blood,10
detects,1
miR,111
attenuates,101
targeting,104
IRAK,1
silver,24
body,11
Nanosized,4
aluminum,4
Low,25
dose,93
potentiates,10
pandemic,3
HN,7
influenza,22
virus,59
Ammonia,3
oxidative,164
triggered,19
proinflammatory,21
pig,10
NF,103
ÎºB,82
factors,37
lead,8
Methylation,16
murine,118
reveal,12
distinct,14
immunological,10
cerium,8
tetracycline,3
regulated,48
adenoviral,24
system,64
transgenes,2
Transcriptome,17
Cytochrome,8
Ps,4
chemoprevention,6
Comparison,27
fresh,1
oxidized,4
black,26
differences,21
Bitumen,1
autophagy,48
mechanism,66
Imaging,4
inducible,26
nitric,28
synthase,20
PET,5
Relative,1
effective,19
potencies,1
dioxin,20
like,84
compounds,25
rodent,13
Changes,25
traffic,12
related,144
pollution,44
array,5
screening,23
Hypermethylation,2
PGCP,1
immortalization,1
mediates,40
bioactivation,4
cytotoxicity,74
tetrandrine,1
mucociliary,5
tobacco,61
compound,19
methylnitrosamino,16
epigenetically,4
transcriptional,38
characterization,34
use,23
genetic,50
Biomarkers,18
Effect,104
Lungs,17
Smokers,9
Nonsmokers,1
Electronic,8
Cigarette,42
Users,2
ricin,13
liposome,16
complex,28
isografts,1
C/EBP{alpha},1
required,23
cytoprotection,3
NRF,21
protection,31
Nanomaterials,9
Mouse,41
Airways,3
day,16
emissions,14
st,4
nd,2
generation,24
fuels,3
without,33
particle,31
filter,6
FuelHealth,4
project,4
Benzoapyrene,23
migration,44
invasion,27
metastasis,62
upregulating,8
TGIF,2
Alcohol,4
TGFÎ,13
via,311
downregulation,17
Short,12
Long,49
MucilAir,2
Model,41
Polycyclic,13
Aromatic,8
Hydrocarbons,2
Autophagy,12
gold,8
Editor's,1
Highlight,1
CCR,4
Regulates,11
Inflammatory,41
Cell,231
Accumulation,3
Injury,86
Ozone,31
diesel,82
exhausts,4
genotoxicity,45
c,55
fos,4
silence,4
miRNA,40
alteration,10
Protection,11
base,14
excision,19
repair,96
hOgg,1
Fpg,1
graphite,1
nanoplates,1
member,5
graphene,11
nanomaterial,5
localization,9
terminal,16
deoxynucleotidyl,1
transferase,26
dUTP,1
biotin,1
nick,1
end,9
labeling,2
TUNEL,1
immunocytochemical,1
products,19
New,32
Gorilla,1
Adenoviral,10
Vector,8
Natural,11
Tropism,1
Avoids,1
Liver,22
Amenable,1
Capsid,1
Engineering,3
Retargeting,1
Superoxide,5
dismutase,12
oxygen,60
lessons,4
transgenic,64
Based,33
mode,5
styrene,5
concern,2
causes,33
disruption,22
solute,2
carrier,11
pigs,7
Meta,3
means,1
identify,8
outcomes,23
engineered,19
nanomaterials,19
methyltransferase,13
tumorigenesis,48
inhibitory,20
epigallocatechin,2
gallate,5
Cadmium,29
upregulates,13
SNAIL,1
repression,7
transfection,31
sheep,6
airways,15
guanidinium,2
cholesterol,9
lipids,7
Targeted,49
folate,5
polycationic,2
amphiphilic,4
cyclodextrin,7
nanocomplexes,1
concentration,9
genomic,26
nickel,41
sulfate,11
Biotransformation,1
hydroxyethyl,3
methacrylate,7
Lifespan,1
Kras,12
BCF,18
DEHP,2
leads,18
restriction,3
delayed,5
Cytotoxicity,24
hydrochloride,8
Protective,54
thymosin,1
Î,103
model,246
elemental,1
mercury,3
vapor,7
Inorganic,6
developmental,8
developing,13
mRNA,66
Hsp,10
augmented,4
metallothionein,7
knock,8
Transcriptional,19
cadherin,9
loss,9
Sp,3
signatures,11
coding,22
Wilms',2
tumor,228
drives,6
fibroproliferation,1
myofibroblast,16
transformation,63
fibrotic,26
aryl,35
extrahepatic,4
CBL/,15
global,15
sub,11
benzoapyrene,89
involves,6
reactivation,5
LINE,2
retrotransposon,1
reprogramming,7
oncogenic,12
networks,11
Lack,10
modifying,3
eugenol,1
proliferative,11
lesions,13
urethane,25
carrying,13
prototype,7
Ha,7
Protocatechuic,2
acid,133
methyl,19
ester,10
modulates,33
fluoride,2
Nano,7
carriers,8
upon,19
TAT,3
derived,92
peptide,45
covalently,1
coupled,4
PEG,10
PEI,7
Deciphering,1
microRNA,51
Glutamine,2
endotoxin,46
metabolic,37
dysfunction,51
enhanced,46
heat,10
shock,27
Non,146
allergic,53
mucous,5
metaplasia,6
mucus,13
hypersecretion,5
