,count
Melanoma,7
immunotherapy,24
bridge,2
Naples,3
Italy,2
December,3
Effect,74
gut,7
microbiota,7
LPS,152
induced,1401
acute,384
lung,1929
injury,533
regulating,68
TLR/NF,22
kB,7
signaling,484
pathway,794
Alveolar,26
Capillary,2
Membrane,3
Related,19
Pulmonary,103
Cells,157
Target,12
Endotoxin,10
Induced,247
Acute,100
Lung,455
Injury,116
Oxygen,12
toxicity,256
cellular,47
mechanisms,100
normobaric,2
hyperoxia,18
PD,40
L,53
Regulates,11
Inflammation,66
Epithelial,74
Vascular,9
Endothelial,26
Interacting,3
HIF,20
Î±,80
Signaling,105
Pathway,162
Fibrosis,44
Immunological,4
Features,1
Hypochlorous,1
Acid,31
Mouse,22
Model,30
Systemic,18
Sclerosis,4
Oxidative,51
Stress,33
Towards,4
Adverse,18
Outcome,9
oxidative,174
stress,251
inflammation,331
cancer,903
respirable,5
particulate,145
matter,134
fibrous,4
dusts,5
ozone,42
major,6
causes,21
carcinogenesis,43
reactive,54
oxygen,75
species,59
microbiome,5
transcriptome,14
reveal,11
underlying,17
PM,177
pulmonary,500
fibrosis,281
Mechanism,29
chromium,21
lungs,62
liver,42
kidney,13
ameliorative,1
agents,50
Role,78
angiotensin,8
converting,4
enzyme,8
fine,40
pathways,291
involved,43
paraquat,46
Molecular,65
potential,103
therapeutic,56
drugs,20
restricted,1
ALK,17
inhibition,151
avoids,1
systemic,30
toxicities,16
associated,131
TGFÎ,6
TRAF/ASK/JNK,1
Involved,6
Apoptosis,65
Swine,3
Cadmium,26
Exposure,81
Key,4
Particle,5
Effects,135
Toxic,12
Acetaminophen,1
Induces,40
Distal,3
ER,12
Proinflammatory,9
Emphysematous,3
Changes,15
Adult,2
Murine,17
induces,218
EMT,16
promotes,78
CSC,1
properties,34
activating,61
Notch,16
vivo,141
vitro,189
Aryl,12
hydrocarbon,27
receptor,200
mediates,47
benzoapyrene,50
metabolic,47
reprogramming,8
human,602
epithelial,490
BEAS,50
B,135
cells,1027
Toxicity,73
testing,8
poorly,2
soluble,29
particles,114
overload,6
Particulate,33
matters,10
increase,10
mesenchymal,83
transition,60
ETS,2
/NF,6
ÎºB,223
dependent,167
Benzoapyrene,14
immunogenetics,1
immune,51
archetype,1
High,23
throughput,10
data,17
based,111
oriented,3
development,64
quantitative,7
adverse,26
outcome,20
network,29
linking,2
AHR,5
activation,244
damages,4
Breath,1
biomarkers,31
toxicology,15
Pneumotoxicity,1
