,count
Hydrogen_Peroxide,1
Chlorine,1
CMIT/MIT,6
PHMG-p,26
Benzalkonium,5
chloride,5
Arsenic,9
Sodium_arsenite,2
Bisphenol,1
Phthalate,15
DEHP,7
Dibutyl_Phthalate,1
Methomyl,1
Bisphenol_A,11
Butylparaben,1
Ethylparaben,2
Aspartame,1
Polystyrene,1
Benzalkonium_chloride,2
PGH,4
Formaldehyde,16
Ethylene_glycol,1
Bisphenol-A,1
Toluene,13
Benzene,7
Ethylbenzene,5
Xylene,4
Dichloromethane,1
Vinyl_chloride,3
"1,3-Butadiene",2
1-Bromopropane,1
Vinyl_acetate,1
Trichloroethene,1
PHMG-P,1
NaAsO2,1
EGME,1
PHMG,1
THB,1
Naphthalene,3
SOA,1
"1,4-naphthoquinone",1
"Hydroxy-1,4-naphthoquinone",1
Phthalic,1
acid,1
Phthaldialdehyde,1
Sertraline,1
Tributyltin,1
Benzo[a]pyrene,1
Phthalates,2
DBP,2
Triclosan,1
Antimony_trioxide,1
Methylparaben,1
Acetaldehyde,1
Acrolein,1
DCB,1
DINP,1
Perfluorononanoate,1
Perfluorooctanoate,1
SA,1
TDI,1
DNCB,1
Benzo[a]pyrene_cadmium,1
Diisononyl_phthalate,1
Dimethylthiocarbamate,1
Carbon_disulphide,1
a-pinene,1
m-xylene,1
Trimethylbenzene,1
4-(methylnitrosamine)-1-(3-pyridyl)-1-butanone,1
Gallium_Arsenide,1
Ozone,1
