,count
Foxf1,1
SMAD6,1
ETV6,1
LEF1,1
Snai1,1
Hspa1b,1
Irf3,1
Gm10778,1
Hspa1a,1
Krt13,1
Krt4,1
Krt76,1
Fam25c,1
Fibronectin,1
MMP-2,1
PAI-1,1
NLRP3,1
b-actin,1
Cdc6,1
Nrf2,2
AHR,1
MGB1/RAGE,1
PI3K/AKT,1
MMP2,1
CYP1A1,1
CYP1B1inD5,1
D10,1
mmu-miR-130b-3p,1
mmu-miR-146b-5p,1
mmu-miR-1505p,1
mmu-miR-133a-3p,1
IRF7,1
H3,1
H4acetylation,1
H3K4,1
H3K36,1
H3K79,1
CDC,1
CCNA2,1
BUB1B,1
CDCA,2
KIF20A,1
KIF15,1
ASF1B,1
BIRC5,1
TOP2A,1
CDK1,2
TPX2,1
CEP55,1
RRM2,1
DLGAP5,1
PLK1,1
KIF2C,1
MELK,1
FOXM1,1
Txk,1
Ctnnal1,1
Ctsw,1
Hfe,1
Arhgap4,2
Lactb,1
Clcc1,1
Tyk2,1
Mrps23,1
Arhgap11a,1
arhgef3,1
Hpgds,1
NDUFA4L2,1
SLITRK6,1
TIMP3,2
FMO3,1
HBG1,1
MGP,1
HBG2,1
TBX4,1
GPX3,1
FMO2,1
MX1,1
KRT19,2
HMGA2,1
ISG15,1
IL33,1
MMP1,1
TRPA1,1
IFI6,1
PLAU,1
CDKN1A,1
PLAT,1
AK5,1
NT5E,1
IRAK3,1
GSTp1,1
GSTp2,1
rno_circRNA_008646,1
rno-miR-224,1
rno-miR-1323p,1
rno-miR-761,1
rno-miR-376b-3p,1
rno-miR-2123p,1
FOXI1,1
HTR4,1
FABP4,1
IL-6R,1
Bax,2
Bcl-2,1
GAPDH,1
IL-1b,4
eIF2a,1
Ltf,1
Krt14,1
Gp2,1
Gpnmb,1
MMP12,1
Saa3,1
Bex4,1
Bex2,1
Fabp1,1
Hist1h2br,1
BiP,1
PERK,1
p-eIF2a,1
ATF4,1
CHOP,2
PUMA,1
IL-13,1
IL-17,1
IL-17A,1
IL-23,1
miR-451a,1
OSR1,1
HMGB1,1
RAGE,1
PI3K,1
p-AKT,1
IL-18,1
MMP-9,1
TGF-b1,1
p-SMAD2,1
p-SMAD3,1
SMAD4,1
p62,1
Nix,1
procaspase-8,1
AS3MT,1
E2F1,1
CDK2,1
CDK4,1
CDK6,1
CyclinA2,1
CyclinE1,1
CyclinE2,1
PCNA,1
NRF2,1
NQO1,2
BCL-2,2
cyclinE-CDK2,1
TET1,1
TET2,1
TET3,1
OGG1,1
GSTP1,2
TNF-a,5
IL-6,4
CDR1as,2
rno-miR-7b,1
Atg7,1
GPx,1
SOD,1
K-Ras,1
c-Myc,1
p53,2
caspase-3,1
NO,1
GST,1
GSH,1
MT1B,1
MT1E,1
MT1F,1
MT1G,1
MT1H,1
MT1M,1
MT1X,1
NOX1,1
Xa,1
Akt,2
p65,1
tyrosine216_SK-3b,1
NOX4,1
cytochromeP450,1
glutathione,1
ERK1/2,1
MAPK1/3,1
IL-33,2
IL-5,1
ADCYAP1R1,1
BCL2,1
CAT,1
CCL2,1
CYP2E1,1
DNMT1,1
EDN1,1
HMOX1,2
HSD11B2,1
IL1B,1
IL4,1
IL6,1
MMP9,1
ORMDL3,1
PARP1,1
PTEN,1
SOD1,1
TGFB1,1
TNF,1
VEGFA,1
MiR-26a-5p,1
TLR4,1
NF-kB,2
itgb1b,1
TNC,1
arg1,1
arg2,1
serpine-1,1
ptgs2b,1
EGFR,1
EGF,1
TGFa,1
AREG,1
BTC,1
Beclin-1,1
Ifng,2
Tbet,1
ll4,1
Sqstm1/p62,1
Map1lc3b,1
Becn1,1
Ulk1,1
Mtor,1
Tlr4,1
Nfkbia,1
Nfkb1,1
rs2046210,1
Ccl1,1
CETN3,1
HNRNPD,1
CRNDE,1
CAPN1,2
ZEB2,1
a-SMA,1
E-cadherin,1
P2RX7,1
ZO1,1
MG-132,1
TNF_,1
IL6,1
IL-8,4
PIK3CA,1
p-Akt,1
MEK,1
p-MEK,1
GLI2,1
Hsp70,1
IL-2 IL-6,1
HNRNPC1/C2,1
transaldolase1,1
eotaxin,1
STAT3,1
CYP2A6,1
CYP2A13,1
CYP2B6,1
Carbonylreductase1,1
11-bHSD1,1
AKR1C1,1
AKR1C2,1
AKR1C4,1
b-Actin,1
