,count
R-Ras,1
interleukin_signaling,1
intracellular_signaling,1
PI3K/AKT_pathway,1
TGFb,1
Nrf2_signaling_pathway,2
JAK-STAT_pathway,1
TGF-b/Smad_signaling,1
NF-kB,1
(p65),1
PI3K/Akt,1
Oxidative_stress_pathway,1
AHR_signaling_pathways,1
CAR,2
PXR_signaling_pathways,2
NXRs_pathways,1
mTOR_signaling_pathway,1
Ras_signaling_pathway,1
phospholipase_D_signaling_pathway,1
AMPK_signaling,1
PI3K-Akt_signaling_pathway,1
ferroptosis_pathway,1
WNT/b-catenin_pathway,1
Ers,1
EGFR,2
GPER,1
ERK1/2,2
AhR_signaling_pathway,1
lipid_acid_metabolism,1
YAP/TAZ_pathway,1
RHOGDI,1
/RHOA_signaling_pathwaying_pathway,1
NRF2-mediated_oxidative_stress_response_signaling_pathwaying,1
3-Phosphoinositide,1
biosynthesis_pathway,1
Wnt_signaling_pathwaying_pathway,1
SG-related_signaling_pathway,1
TGF-b/Smad_signaling_pathway,1
NF-kB_signaling_pathway,1
Rap1_signaling_pathway,1
p38,1
MAPK_signaling_pathway,1
IL-6_signaling_pathway,2
P450-mediated_signaling_pathway,1
SG-related_signalling,1
TGF-b_pathway,1
sGC-cGMP_pathway,1
Th17_signaling_pathway,2
UPR,1
canonical_pathway,1
Mitochondria-Associated_Apoptotic_pathway,1
STAT3_signaling_pathway,1
miR-451a,1
OSR1,1
HMGB1/RAGE,1
TGF-b1/SMAD,1
PI3K/AKT,1
p38-SQSTM1/p62,1
JNK-BNIP3L/Nix_signaling,1
AS3MT,1
NRF2/NQO1_signaling_pathway,1
TET,1
TNF-a,2
IL-6,2
CDR1as,1
GPx,1
SOD,1
K-Ras,1
c-Myc,1
p53,1
caspase-3,1
NO,1
GST,1
GSH,1
MT1B,1
MT1E,1
MT1F,1
MT1G,1
MT1H,1
MT1M,1
MT1X,1
NOX1,1
NOX4,1
cytochrome_P450,1
MAPK1/3,1
IL-33,1
IL-5,1
ADCYAP1R1,1
BCL2,1
CAT,1
CCL2,1
CYP2E1,1
DNMT1,1
EDN1,1
GSTP1,1
HMOX1,1
HSD11B2,1
IL1B,1
IL4,1
IL6,1
KRT19,1
MMP9,1
NQO1,1
ORMDL3,1
PARP1,1
PTEN,1
SOD1,1
TGFB1,1
TIMP3,1
TNF,1
VEGFA,1
MiR-26a-5p,1
TLR4/NF-kB_signaling_pathway,2
activation_of_mTOR-mediated_autophagy,1
Citric_acid_cycle,1
Arginine_proline_metabolism,1
Carnitine_synthesis,1
Phytanic_acid_peroxisomal_oxidation,1
Oxidation_of_branched_chain_fatty_acids_Urea_cycle,1
immune_system_process,1
MEK/ERK1/2_signaling,1
anti-viral_Th1_Th2_responses,1
ESR1,1
caspase3_pathway,1
cell_cycle_pathway,1
apoptosis_pathway,1
P2RX7/Ca2+_signaling_pathway,2
Akt/Notch_singaling_pathway,1
ROS/ATM/p53_pathway,1
mitochondrial_ATP_synthesis,1
NF-kB_pathway,2
PI3K-Akt_pathway,1
Caspase3_pathway,1
MLC_kinase_pathway,1
carbonyl_reductase-mediated_reduction,1
CYP-mediated,1
a-hydroxylation,1
